4735689.763	2050907.244	1953.49	-3.37
4735344.716	2051313.901	1980.149	-0.52
4736046.435	2051059.847	1950.485	-2.98
4735846.345	2051518.194	2030.948	-0.25
4736415.271	2057257.359	2310.153	-1.23
4735967.175	2057033.915	2306.184	-0.73
4735624.297	2056565.111	2276.633	-1.94
4735054.968	2056632.422	2323.795	-0.79
4734551.209	2056460.649	2294.368	-1.06
4736619.755	2055485.311	2361.087	1.58
4736702.851	2054975.823	2397.092	1.81
4736371.076	2055823.504	2339.732	-1.5
4736089.97	2056332.424	2324.452	-3.1
4739386.962	2050652.905	1986.547	-2.25
4740602.949	2049404.111	2133.285	-1.04
4740909.309	2049772.675	2108.31	-0.47
4740548.186	2050177.403	2083.56	0.78
4740667.382	2050631.095	2080.703	1.34
4741000.187	2050953.33	2006.705	-0.09
4740902.532	2051445.846	1986.783	-0.41
4738893.533	2049666.878	1788.367	0.06
4737989.629	2049294.807	1786.384	0.59
4739686.124	2050089.959	1800.746	0.88
4736637.182	2049429.066	1757.83	-2.67
4741439.168	2049034.61	2409.244	-2.27
4741428.582	2050184.658	2402.272	-0.67
4738177.739	2051246.118	2213.993	1.38
4737779.958	2051289.244	2312.384	1.53
4737570.978	2051961.665	2494.082	0.7
4738341.79	2052508.728	2573.362	0.14
4739015.414	2052184.19	2108.649	0.61
4741675.122	2051182.9	2246.617	0.43
4741733.449	2052171.143	2303.026	-0.74
4741019.215	2052282.191	2328.19	-0.03
4739259.371	2051453.813	2066.068	-0.57
4738887.681	2051506.802	2179.803	-1.06
4740019.008	2051673.049	2339.895	0.37
4739795.423	2050836.891	2008.001	-0.21
4731859.783	2049294.485	1832.207	0.02
4733663.918	2048772.27	1797.176	-1.57
